Protein_ID	Swiss-Prot_Hit	SP_E-value	Swiss-Prot_Description	Trembl_Hit	TB_E-value	Trembl_Description	NCBI_hit	nr_E-value	NCBI_Description	GO_Swiss-Prot	GO_Trembl
evm.model.Ap8.1293	sp|Q9R1A9|TREX2_MOUSE	3.92e-35	Three prime repair exonuclease 2 OS=Mus musculus GN=Trex2 PE=2 SV=1	tr|A0A2B4S9V6|A0A2B4S9V6_STYPI	3.61e-107	Three prime repair exonuclease 2 OS=Stylophora pistillata GN=TREX2 PE=4 SV=1	ref|XP_022791193.1|	5.89e-108	three prime repair exonuclease 2-like [Stylophora pistillata]	GO:0005634; GO:0008296; GO:0008853; GO:0000287; GO:0003676; GO:0042803; GO:0006259; GO:0006281	GO:0004527; GO:0003676
evm.model.Ap8.2122	sp|H1AFJ5|SCNNA_NEOFS	2.13e-58	Amiloride-sensitive sodium channel subunit alpha OS=Neoceratodus forsteri GN=scnn1a PE=1 SV=1	tr|A0A2B4RYW3|A0A2B4RYW3_STYPI	1.4e-152	Amiloride-sensitive sodium channel subunit alpha OS=Stylophora pistillata GN=SCNN1A PE=4 SV=1	ref|XP_020621554.1|	0	degenerin deg-1-like [Orbicella faveolata]	GO:0016324; GO:0005929; GO:0005737; GO:0034706; GO:0015280; GO:0035725	GO:0016021; GO:0004930; GO:0005272
evm.model.Ap8.2123	sp|P9WMV8|CHOD_MYCTO	2.18e-15	Cholesterol oxidase OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) GN=choD PE=3 SV=1	tr|A0A2B4RXA1|A0A2B4RXA1_STYPI	1.92e-130	Neuropeptide FF receptor 2 OS=Stylophora pistillata GN=Npffr2 PE=4 SV=1	ref|XP_022797350.1|	8.59e-135	uncharacterized protein LOC111335634 [Stylophora pistillata]	GO:0016995; GO:0004769; GO:0008203; GO:0009405; GO:0006694	GO:0016021; GO:0050660; GO:0004930; GO:0016787; GO:0016614
evm.model.Ap8.2120	sp|P9WMV8|CHOD_MYCTO	3.15e-24	Cholesterol oxidase OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) GN=choD PE=3 SV=1	tr|A0A2B4RXA1|A0A2B4RXA1_STYPI	0	Neuropeptide FF receptor 2 OS=Stylophora pistillata GN=Npffr2 PE=4 SV=1	ref|XP_022797350.1|	0	uncharacterized protein LOC111335634 [Stylophora pistillata]	GO:0016995; GO:0004769; GO:0008203; GO:0009405; GO:0006694	GO:0016021; GO:0050660; GO:0004930; GO:0016787; GO:0016614
evm.model.Ap8.2121	sp|H1AFJ5|SCNNA_NEOFS	7.23e-54	Amiloride-sensitive sodium channel subunit alpha OS=Neoceratodus forsteri GN=scnn1a PE=1 SV=1	tr|A0A2B4RYW3|A0A2B4RYW3_STYPI	1.29e-163	Amiloride-sensitive sodium channel subunit alpha OS=Stylophora pistillata GN=SCNN1A PE=4 SV=1	ref|XP_020621554.1|	0	degenerin deg-1-like [Orbicella faveolata]	GO:0016324; GO:0005929; GO:0005737; GO:0034706; GO:0015280; GO:0035725	GO:0016021; GO:0004930; GO:0005272
evm.model.Ap8.2126	NA	NA	NA	tr|A0A1E1X2L7|A0A1E1X2L7_9ACAR	0	Putative pao retrotransposon peptidase superfamily protein (Fragment) OS=Amblyomma aureolatum PE=2 SV=1	ref|XP_015760854.1|	0	PREDICTED: uncharacterized protein LOC107340016 [Acropora digitifera]	NA	GO:0003676; GO:0015074
evm.model.Ap8.2124	sp|P18503|CAS4_EPHMU	2.11e-09	Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1	tr|A0A2B4RXE1|A0A2B4RXE1_STYPI	4.14e-137	Collectin-46 OS=Stylophora pistillata GN=CL46 PE=4 SV=1	ref|XP_020621678.1|	2.69e-165	short-chain collagen C4-like [Orbicella faveolata]	GO:0005581; GO:0005578	GO:0016021
evm.model.Ap8.2125	NA	NA	NA	tr|A0A1X7T7M1|A0A1X7T7M1_AMPQE	1.32e-32	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1	ref|XP_020907145.1|	2.64e-84	uncharacterized protein LOC110245223 [Exaiptasia pallida]	NA	GO:0003676; GO:0016175; GO:0008270; GO:0042554
evm.model.Ap8.2128	sp|H1AFJ5|SCNNA_NEOFS	5.45e-53	Amiloride-sensitive sodium channel subunit alpha OS=Neoceratodus forsteri GN=scnn1a PE=1 SV=1	tr|A0A2B4RYW3|A0A2B4RYW3_STYPI	2.75e-147	Amiloride-sensitive sodium channel subunit alpha OS=Stylophora pistillata GN=SCNN1A PE=4 SV=1	ref|XP_020621554.1|	1.61e-180	degenerin deg-1-like [Orbicella faveolata]	GO:0016324; GO:0005929; GO:0005737; GO:0034706; GO:0015280; GO:0035725	GO:0016021; GO:0004930; GO:0005272
evm.model.Ap8.1296	sp|P33277|GAP1_SCHPO	8.2e-44	GTPase-activating protein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=gap1 PE=4 SV=1	tr|A7S5U4|A7S5U4_NEMVE	9.84e-131	Predicted protein OS=Nematostella vectensis GN=v1g243068 PE=4 SV=1	ref|XP_022791196.1|	0	GTPase-activating protein-like [Stylophora pistillata]	GO:0005829; GO:0005634; GO:0005096; GO:0046580; GO:0032005	GO:0043087; GO:0007165
evm.model.Ap8.1299	NA	NA	NA	NA	NA	NA	ref|XP_020631321.1|	2.14e-117	uncharacterized protein LOC110068279 isoform X1 [Orbicella faveolata]	NA	NA
evm.model.Ap8.1298	sp|Q08E20|ESTD_BOVIN	3.2e-146	S-formylglutathione hydrolase OS=Bos taurus GN=ESD PE=2 SV=1	tr|A0A2B4S9J3|A0A2B4S9J3_STYPI	0	S-formylglutathione hydrolase OS=Stylophora pistillata GN=ESD PE=4 SV=1	gb|PFX25248.1|	0	S-formylglutathione hydrolase [Stylophora pistillata]	GO:0031410; GO:0052689; GO:0042802; GO:0018738; GO:0046294	GO:0005737; GO:0052689; GO:0018738; GO:0046294
evm.model.Ap8.1158	NA	NA	NA	tr|A0A2B4S691|A0A2B4S691_STYPI	4.24e-35	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene11450 PE=4 SV=1	gb|KXJ10610.1|	2.15e-81	hypothetical protein AC249_AIPGENE26275 [Exaiptasia pallida]	NA	GO:0003676; GO:0008270
evm.model.Ap8.1159	sp|O62714|CASR_PIG	1.12e-95	Extracellular calcium-sensing receptor OS=Sus scrofa GN=CASR PE=2 SV=3	tr|A0A2B4SZE0|A0A2B4SZE0_STYPI	0	Metabotropic glutamate receptor 4 OS=Stylophora pistillata GN=GRM4 PE=4 SV=1	ref|XP_020604848.1|	0	extracellular calcium-sensing receptor-like [Orbicella faveolata]	GO:0005887; GO:0016597; GO:0005509; GO:0004930; GO:0042803; GO:0006874; GO:0005513; GO:0007186	GO:0016021; GO:0005886; GO:0004930
evm.model.Ap8.1156	NA	NA	NA	tr|A0A147BKN4|A0A147BKN4_IXORI	8.71e-38	Putative sm1 (Fragment) OS=Ixodes ricinus PE=4 SV=1	ref|XP_015775322.1|	1e-103	PREDICTED: uncharacterized protein LOC107353512 [Acropora digitifera]	NA	
evm.model.Ap8.1157	NA	NA	NA	tr|A0A2B4RZC9|A0A2B4RZC9_STYPI	2.35e-79	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene13593 PE=4 SV=1	ref|XP_020914970.1|	4.29e-113	uncharacterized protein LOC110252480 [Exaiptasia pallida]	NA	GO:0003676
evm.model.Ap8.1059	sp|P13474|ETS1A_CHICK	6.53e-32	Transforming protein p54/c-ets-1 OS=Gallus gallus GN=ETS1 PE=2 SV=1	tr|A0A2B4SWD7|A0A2B4SWD7_STYPI	1.71e-134	Tetratricopeptide repeat protein 28 OS=Stylophora pistillata GN=TTC28 PE=4 SV=1	ref|XP_020605427.1|	0	uncharacterized protein LOC110044246 [Orbicella faveolata]	GO:0005634; GO:0000981; GO:0043565; GO:0030154; GO:0010595; GO:0045765; GO:0006357; GO:0006351	GO:0005525; GO:0003924
evm.model.Ap8.1713	NA	NA	NA	tr|A7RR11|A7RR11_NEMVE	1.03e-176	Predicted protein OS=Nematostella vectensis GN=v1g240062 PE=4 SV=1	ref|XP_020614964.1|	0	uncharacterized protein LOC110053114 isoform X2 [Orbicella faveolata]	NA	
evm.model.Ap8.1058	sp|Q06527|ANKH_ALLVD	1.25e-22	Ankyrin homolog OS=Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D) GN=Alvin_1094 PE=3 SV=1	tr|A0A2B4SJF9|A0A2B4SJF9_STYPI	0	Death-associated protein kinase dapk-1 OS=Stylophora pistillata GN=dapk-1 PE=4 SV=1	gb|PFX29010.1|	0	death-associated protein kinase dapk-1-like [Stylophora pistillata]		GO:0005525; GO:0004674; GO:0006915; GO:0007165
evm.model.Ap8.1150	sp|P48442|CASR_RAT	6.42e-96	Extracellular calcium-sensing receptor OS=Rattus norvegicus GN=Casr PE=1 SV=1	tr|A0A2B4S800|A0A2B4S800_STYPI	0	Extracellular calcium-sensing receptor OS=Stylophora pistillata GN=Casr PE=4 SV=1	ref|XP_020604848.1|	0	extracellular calcium-sensing receptor-like [Orbicella faveolata]	GO:0016324; GO:0030424; GO:0043679; GO:0016323; GO:0009986; GO:0005737; GO:0005887; GO:0016020; GO:0043005; GO:0043025; GO:0005634; GO:0005886; GO:0016597; GO:0005509; GO:0008144; GO:0004930; GO:0005178; GO:0044325; GO:0000287; GO:0019808; GO:0042803; GO:0019901; GO:0007193; GO:0006915; GO:0048754; GO:0070509; GO:0006816; GO:0006874; GO:0071333; GO:0035729; GO:0071456; GO:0071404; GO:1901653; GO:0071305; GO:0005513; GO:0060613; GO:0007186; GO:0007254; GO:0001503; GO:0007200; GO:0032781; GO:0090280; GO:0008284; GO:0010628; GO:0032024; GO:0050927; GO:0045907; GO:0051924; GO:0051592; GO:0071774; GO:0002931; GO:0010038; GO:0014070; GO:0042311	GO:0016021; GO:0005886; GO:0004930
evm.model.Ap8.1905	sp|Q80TI0|GRM1B_MOUSE	4.69e-113	GRAM domain-containing protein 1B OS=Mus musculus GN=Gramd1b PE=1 SV=2	tr|A0A2B4RJ11|A0A2B4RJ11_STYPI	0	GRAM domain-containing protein 1B OS=Stylophora pistillata GN=Gramd1b PE=4 SV=1	ref|XP_020623292.1|	0	GRAM domain-containing protein 1B-like isoform X1 [Orbicella faveolata]	GO:0016021	GO:0016021
evm.model.Ap8.1904	sp|Q9P289|STK26_HUMAN	6.75e-168	Serine/threonine-protein kinase 26 OS=Homo sapiens GN=STK26 PE=1 SV=2	tr|A0A2B4RJ21|A0A2B4RJ21_STYPI	0	Serine/threonine-protein kinase 24 OS=Stylophora pistillata GN=Stk24 PE=4 SV=1	ref|XP_020623294.1|	0	serine/threonine-protein kinase 26-like [Orbicella faveolata]	GO:0016324; GO:0071944; GO:0005737; GO:0005829; GO:0070062; GO:0005794; GO:0000139; GO:0005798; GO:0016020; GO:0048471; GO:0012506; GO:0005524; GO:0042802; GO:0000287; GO:0008349; GO:0042803; GO:0004672; GO:0009267; GO:0097194; GO:0030033; GO:0030336; GO:0048812; GO:0046777; GO:0006468; GO:0042981; GO:1903205; GO:0007346; GO:0042542; GO:0031098	GO:0005524; GO:0004672
evm.model.Ap8.1054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap8.814	NA	NA	NA	tr|W4XPS7|W4XPS7_STRPU	2.31e-69	Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1	gb|KXJ16350.1|	2.09e-109	hypothetical protein AC249_AIPGENE6531 [Exaiptasia pallida]	NA	GO:0003676; GO:0015074
evm.model.Ap8.816	sp|P10394|POL4_DROME	1.43e-24	Retrovirus-related Pol polyprotein from transposon 412 OS=Drosophila melanogaster GN=POL PE=3 SV=1	tr|A0A146TF15|A0A146TF15_FUNHE	1.28e-114	Pol polyprotein OS=Fundulus heteroclitus PE=4 SV=1	ref|XP_019221790.1|	3.8e-115	PREDICTED: uncharacterized protein LOC109204700 isoform X1 [Oreochromis niloticus]	GO:0004190; GO:0004519; GO:0003676; GO:0003964; GO:0015074	GO:0004190; GO:0003676; GO:0015074
evm.model.Ap8.810	sp|P05619|ILEU_HORSE	4.4e-29	Leukocyte elastase inhibitor OS=Equus caballus GN=SERPINB1 PE=1 SV=3	tr|A0A2B4SYX5|A0A2B4SYX5_STYPI	3.18e-73	Leukocyte elastase inhibitor OS=Stylophora pistillata GN=SERPINB1 PE=4 SV=1	ref|XP_022797641.1|	2.34e-73	leukocyte elastase inhibitor-like [Stylophora pistillata]	GO:0005737; GO:0031012; GO:0005615; GO:0004867	GO:0005615
evm.model.Ap8.819	sp|O35817|AKA14_RAT	1.52e-35	A-kinase anchor protein 14 OS=Rattus norvegicus GN=Akap14 PE=2 SV=1	tr|A7RYL6|A7RYL6_NEMVE	1.18e-96	Predicted protein OS=Nematostella vectensis GN=v1g241588 PE=4 SV=1	ref|XP_020610654.1|	6.44e-131	A-kinase anchor protein 14-like [Orbicella faveolata]	GO:0005930; GO:0005952; GO:0035686; GO:0051018; GO:0034237; GO:0007283	
evm.model.Ap8.818	NA	NA	NA	tr|J9L4I7|J9L4I7_ACYPI	1.22e-29	Uncharacterized protein OS=Acyrthosiphon pisum PE=4 SV=2	gb|KXJ20296.1|	2.69e-29	hypothetical protein AC249_AIPGENE28589 [Exaiptasia pallida]	NA	
evm.model.Ap8.2182	NA	NA	NA	tr|A0A2B4R701|A0A2B4R701_STYPI	4.82e-37	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene24096 PE=4 SV=1	gb|PFX12012.1|	7.47e-37	uncharacterized protein LOC111318939 [Stylophora pistillata]	NA	
evm.model.Ap8.2089	sp|Q1RMP0|RPA12_BOVIN	2.34e-37	DNA-directed RNA polymerase I subunit RPA12 OS=Bos taurus GN=ZNRD1 PE=2 SV=1	tr|A0A2B4RSL7|A0A2B4RSL7_STYPI	2.47e-67	DNA-directed RNA polymerase I subunit RPA12 OS=Stylophora pistillata GN=ZNRD1 PE=4 SV=1	gb|PFX21424.1|	3.83e-67	DNA-directed RNA polymerase I subunit RPA12-like [Stylophora pistillata]	GO:0005736; GO:0003899; GO:0003676; GO:0008270; GO:0006379; GO:0006363	GO:0005730; GO:0003899; GO:0003676; GO:0008270; GO:0006379; GO:0006351
evm.model.Ap8.1516	sp|Q09575|YRD6_CAEEL	7.73e-07	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1	tr|A0A1X7TYB9|A0A1X7TYB9_AMPQE	1.26e-125	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1	ref|XP_015771483.1|	7.71e-152	PREDICTED: uncharacterized protein LOC107349811 [Acropora digitifera]	GO:0003676; GO:0008270; GO:0015074	GO:0003676; GO:0015074
evm.model.Ap8.1517	sp|Q9VBW3|CAD96_DROME	1.48e-85	Tyrosine kinase receptor Cad96Ca OS=Drosophila melanogaster GN=Cad96Ca PE=2 SV=2	tr|A0A2B4RPH8|A0A2B4RPH8_STYPI	3.75e-156	Proto-oncogene tyrosine-protein kinase receptor Ret OS=Stylophora pistillata GN=Ret PE=4 SV=1	ref|XP_020605262.1|	0	LOW QUALITY PROTEIN: uncharacterized protein LOC110044084 [Orbicella faveolata]	GO:0045177; GO:0005887; GO:0005524; GO:0005509; GO:0004672; GO:0004713; GO:0004714; GO:0016339; GO:0007030; GO:0007156; GO:0045792; GO:0090303; GO:0006468; GO:0042060	GO:0016021; GO:0005524; GO:0004713
evm.model.Ap8.1514	sp|P35546|RET_MOUSE	1.88e-85	Proto-oncogene tyrosine-protein kinase receptor Ret OS=Mus musculus GN=Ret PE=1 SV=2	tr|A0A2B4RPH8|A0A2B4RPH8_STYPI	0	Proto-oncogene tyrosine-protein kinase receptor Ret OS=Stylophora pistillata GN=Ret PE=4 SV=1	ref|XP_022807771.1|	0	fibroblast growth factor receptor 2-like [Stylophora pistillata]	GO:0030424; GO:0005829; GO:0030425; GO:0005769; GO:0010008; GO:0005887; GO:0043231; GO:0045121; GO:0043025; GO:0005886; GO:0098797; GO:0043235; GO:0005524; GO:0005509; GO:0004714; GO:0006919; GO:0009653; GO:0071300; GO:0001838; GO:0048484; GO:0007156; GO:0060384; GO:0000165; GO:0033619; GO:0007399; GO:0001755; GO:0007158; GO:0030182; GO:0042551; GO:0061146; GO:0033630; GO:0030335; GO:0045793; GO:2001241; GO:0010628; GO:0072300; GO:0014042; GO:0010976; GO:0033141; GO:0045893; GO:0050770; GO:0030155; GO:0042493; GO:0048265; GO:0060041; GO:0007169; GO:0035799; GO:0001657	GO:0016021; GO:0005524; GO:0004713
evm.model.Ap8.1515	NA	NA	NA	tr|A0A2B4RCT9|A0A2B4RCT9_STYPI	1.02e-16	Down syndrome cell adhesion molecule-like OS=Stylophora pistillata GN=Dscam PE=4 SV=1	ref|XP_020605234.1|	3.44e-41	hemicentin-1-like [Orbicella faveolata]	NA	
evm.model.Ap8.1512	NA	NA	NA	tr|A0A2B4RKM5|A0A2B4RKM5_STYPI	1.49e-29	Fibroblast growth factor receptor 3 OS=Stylophora pistillata GN=fgfr3 PE=4 SV=1	gb|PFX18161.1|	2.31e-29	Fibroblast growth factor receptor 3 [Stylophora pistillata]	NA	GO:0005524; GO:0004672
evm.model.Ap8.1513	NA	NA	NA	tr|W4YL06|W4YL06_STRPU	6.33e-12	Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1	ref|XP_011683034.1|	6.61e-12	PREDICTED: uncharacterized protein LOC105447085 [Strongylocentrotus purpuratus]	NA	
evm.model.Ap8.1510	sp|P35546|RET_MOUSE	6.6e-38	Proto-oncogene tyrosine-protein kinase receptor Ret OS=Mus musculus GN=Ret PE=1 SV=2	tr|A0A2B4RPH8|A0A2B4RPH8_STYPI	0	Proto-oncogene tyrosine-protein kinase receptor Ret OS=Stylophora pistillata GN=Ret PE=4 SV=1	ref|XP_022807771.1|	0	fibroblast growth factor receptor 2-like [Stylophora pistillata]	GO:0030424; GO:0005829; GO:0030425; GO:0005769; GO:0010008; GO:0005887; GO:0043231; GO:0045121; GO:0043025; GO:0005886; GO:0098797; GO:0043235; GO:0005524; GO:0005509; GO:0004714; GO:0006919; GO:0009653; GO:0071300; GO:0001838; GO:0048484; GO:0007156; GO:0060384; GO:0000165; GO:0033619; GO:0007399; GO:0001755; GO:0007158; GO:0030182; GO:0042551; GO:0061146; GO:0033630; GO:0030335; GO:0045793; GO:2001241; GO:0010628; GO:0072300; GO:0014042; GO:0010976; GO:0033141; GO:0045893; GO:0050770; GO:0030155; GO:0042493; GO:0048265; GO:0060041; GO:0007169; GO:0035799; GO:0001657	GO:0016021; GO:0005524; GO:0004713
evm.model.Ap8.1511	sp|Q7LHG5|YI31B_YEAST	2.04e-70	Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-I PE=3 SV=2	tr|A0A1A7YSF0|A0A1A7YSF0_9TELE	0	Uncharacterized protein OS=Aphyosemion striatum GN=BX640584.1 PE=4 SV=1	ref|XP_015778888.1|	0	PREDICTED: uncharacterized protein K02A2.6-like [Acropora digitifera]	GO:0005737; GO:0005634; GO:0000943; GO:0004190; GO:0005524; GO:0003677; GO:0003887; GO:0008233; GO:0004540; GO:0003723; GO:0003964; GO:0004523; GO:0008270; GO:0015074; GO:0006310; GO:0032197	GO:0004190; GO:0003676; GO:0008270; GO:0015074
evm.model.Ap8.1518	NA	NA	NA	tr|A7SXQ4|A7SXQ4_NEMVE	1.01e-20	Predicted protein OS=Nematostella vectensis GN=v1g219148 PE=4 SV=1	gb|EDO31518.1|	1.57e-20	predicted protein [Nematostella vectensis]	NA	
evm.model.Ap8.1519	NA	NA	NA	tr|A0A2B4SKL3|A0A2B4SKL3_STYPI	3.01e-17	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene6211 PE=4 SV=1	gb|PFX29067.1|	4.66e-17	hypothetical protein AWC38_SpisGene6211 [Stylophora pistillata]	NA	GO:0016021; GO:0003676
evm.model.Ap8.741	NA	NA	NA	tr|A0A2B4RKM7|A0A2B4RKM7_STYPI	3.53e-41	52 kDa repressor of the inhibitor of the protein kinase (Fragment) OS=Stylophora pistillata GN=Prkrir PE=4 SV=1	gb|PFX16802.1|	5.47e-41	52 kDa repressor of the inhibitor of the protein kinase, partial [Stylophora pistillata]	NA	GO:0005509; GO:0030246; GO:0016301; GO:0046983
evm.model.Ap8.740	NA	NA	NA	tr|A0A2B4SWA7|A0A2B4SWA7_STYPI	8.86e-42	Dual specificity protein kinase shkA OS=Stylophora pistillata GN=shkA PE=4 SV=1	ref|XP_020619491.1|	7.59e-43	uncharacterized protein LOC110057246 [Orbicella faveolata]	NA	GO:0016021; GO:0005524; GO:0004672
evm.model.Ap8.743	sp|Q7YU24|MARF_DROME	2.03e-09	Transmembrane GTPase Marf OS=Drosophila melanogaster GN=Marf PE=1 SV=1	tr|A0A2B4S4B8|A0A2B4S4B8_STYPI	1.1e-67	Putative uncharacterized transposon-derived protein F54H12.3 OS=Stylophora pistillata GN=F54H12.3 PE=4 SV=1	ref|XP_020631033.1|	1.37e-63	uncharacterized protein LOC110068009, partial [Orbicella faveolata]	GO:1904115; GO:0016021; GO:0031306; GO:0005740; GO:0005525; GO:0003924; GO:0008344; GO:0019896; GO:0006697; GO:0007029; GO:0034389; GO:0008053; GO:0070584; GO:0007005; GO:0010636; GO:0090140; GO:0034976	GO:0003676
evm.model.Ap8.742	NA	NA	NA	tr|A0A2B4S318|A0A2B4S318_STYPI	2.11e-116	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene10300 PE=4 SV=1	gb|PFX25094.1|	3.27e-116	hypothetical protein AWC38_SpisGene10300 [Stylophora pistillata]	NA	
evm.model.Ap8.745	NA	NA	NA	tr|A0A2B4SWA7|A0A2B4SWA7_STYPI	5.07e-42	Dual specificity protein kinase shkA OS=Stylophora pistillata GN=shkA PE=4 SV=1	ref|XP_020619491.1|	2.94e-50	uncharacterized protein LOC110057246 [Orbicella faveolata]	NA	GO:0016021; GO:0005524; GO:0004672
evm.model.Ap8.744	NA	NA	NA	tr|C3Z0X5|C3Z0X5_BRAFL	1.92e-116	Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_105474 PE=4 SV=1	ref|XP_015759339.1|	0	PREDICTED: uncharacterized protein LOC107338616 isoform X3 [Acropora digitifera]	NA	GO:0003676
evm.model.Ap8.747	NA	NA	NA	tr|A0A2B4SWA7|A0A2B4SWA7_STYPI	6.12e-68	Dual specificity protein kinase shkA OS=Stylophora pistillata GN=shkA PE=4 SV=1	ref|XP_020619491.1|	8.42e-85	uncharacterized protein LOC110057246 [Orbicella faveolata]	NA	GO:0016021; GO:0005524; GO:0004672
evm.model.Ap8.746	sp|Q09575|YRD6_CAEEL	1.74e-07	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1	tr|A0A2B4R655|A0A2B4R655_STYPI	4.59e-45	Uncharacterized protein K02A2.6 OS=Stylophora pistillata GN=K02A2.6 PE=4 SV=1	ref|XP_015759831.1|	2.16e-50	PREDICTED: uncharacterized protein K02A2.6-like [Acropora digitifera]	GO:0003676; GO:0008270; GO:0015074	GO:0003676; GO:0015074
evm.model.Ap8.749	sp|P41892|CDC7_SCHPO	2.3e-19	Cell division control protein 7 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=cdc7 PE=1 SV=1	tr|A0A2B4R714|A0A2B4R714_STYPI	1.34e-60	Dual specificity protein kinase shkA OS=Stylophora pistillata GN=shkA PE=4 SV=1	ref|XP_020619491.1|	2.43e-81	uncharacterized protein LOC110057246 [Orbicella faveolata]	GO:0005737; GO:0044732; GO:0071958; GO:0005634; GO:0005524; GO:0046872; GO:0004674; GO:0032147; GO:0010973; GO:0042981; GO:1902542; GO:0031028; GO:0023014; GO:0031098	GO:0005524; GO:0004672
evm.model.Ap8.748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap8.2681	sp|Q6DC37|HNMT_DANRE	3.03e-21	Histamine N-methyltransferase OS=Danio rerio GN=hnmt PE=2 SV=1	tr|A0A2B4RB40|A0A2B4RB40_STYPI	2.17e-82	Histamine N-methyltransferase OS=Stylophora pistillata GN=hnmt PE=4 SV=1	ref|XP_020618839.1|	3.62e-156	histamine N-methyltransferase A-like [Orbicella faveolata]	GO:0005737; GO:0043005; GO:0046539; GO:0007420; GO:0001695; GO:0032259	GO:0008168; GO:0006464; GO:0015031
evm.model.Ap8.1995	sp|Q5EA11|TTC4_BOVIN	6.44e-20	Tetratricopeptide repeat protein 4 OS=Bos taurus GN=TTC4 PE=2 SV=2	tr|A0A2B4SYM9|A0A2B4SYM9_STYPI	9.85e-42	Tetratricopeptide repeat protein 28 OS=Stylophora pistillata GN=TTC28 PE=4 SV=1	ref|XP_020621595.1|	5.34e-54	tetratricopeptide repeat protein 28-like isoform X1 [Orbicella faveolata]		
evm.model.Ap8.2680	sp|Q4SBY6|HNMT_TETNG	6.48e-16	Histamine N-methyltransferase OS=Tetraodon nigroviridis GN=hnmt PE=3 SV=1	tr|A0A2B4S0J7|A0A2B4S0J7_STYPI	3.56e-37	Histamine N-methyltransferase A OS=Stylophora pistillata GN=hnmt-a PE=4 SV=1	ref|XP_020621025.1|	4.16e-85	histamine N-methyltransferase-like [Orbicella faveolata]	GO:0005737; GO:0046539; GO:0001695; GO:0032259	GO:0008168
evm.model.Ap8.1628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap8.1629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap8.1509	sp|O73791|TIE2_DANRE	9.2e-07	Tyrosine-protein kinase receptor Tie-2 OS=Danio rerio GN=tie2 PE=2 SV=1	tr|A0A2B4RIL2|A0A2B4RIL2_STYPI	6.59e-17	Tyrosine kinase receptor Cad96Ca OS=Stylophora pistillata GN=Cad96Ca PE=4 SV=1	ref|XP_020605235.1|	4.71e-26	tyrosine kinase receptor Cad96Ca-like, partial [Orbicella faveolata]	GO:0005737; GO:0005856; GO:0005925; GO:0005887; GO:0005524; GO:0004714; GO:0001525; GO:0007507; GO:0007169	GO:0005524; GO:0004713
evm.model.Ap8.1502	NA	NA	NA	tr|A0A2B4SFT2|A0A2B4SFT2_STYPI	4.4e-29	Putative RNA-directed DNA polymerase from transposon BS OS=Stylophora pistillata GN=RTase PE=4 SV=1	gb|KXJ11565.1|	1.53e-31	RNA-directed DNA polymerase from mobile element jockey [Exaiptasia pallida]	NA	GO:0003964
evm.model.Ap8.1505	sp|Q08AY6|KT5AA_XENLA	9.11e-08	N-lysine methyltransferase KMT5A-A OS=Xenopus laevis GN=kmt5a-a PE=2 SV=1	tr|A0A0G4ETF6|A0A0G4ETF6_VITBC	6.49e-11	Uncharacterized protein OS=Vitrella brassicaformis (strain CCMP3155) GN=Vbra_22543 PE=4 SV=1	ref|XP_015765672.1|	9.59e-55	PREDICTED: N-lysine methyltransferase SETD8-B-like [Acropora digitifera]	GO:0005694; GO:0005634; GO:0018024; GO:0007049; GO:0051301; GO:0006355; GO:0006351	
evm.model.Ap8.330	NA	NA	NA	tr|A0A2B4S7M2|A0A2B4S7M2_STYPI	0	Transmembrane protein 151B OS=Stylophora pistillata GN=tmem151b PE=4 SV=1	ref|XP_020602020.1|	0	uncharacterized protein LOC110041087 [Orbicella faveolata]	NA	GO:0016021
