"gene","GO_Description"
"evm.TU.Ap9.2261","BTB and MATH domain-containing protein 38 OS=Caenorhabditis elegans GN=bath-38 PE=4 SV=1"
"evm.TU.Ap9.2262","Glutamate receptor ionotropic, NMDA 1 OS=Xenopus laevis GN=grin1 PE=1 SV=1"
"evm.TU.Ap9.2263","PR domain zinc finger protein 14 OS=Mus musculus GN=Prdm14 PE=1 SV=1"
"evm.TU.Ap9.2268",NA
"evm.TU.Ap9.2269",NA
"evm.TU.Ap9.1912",NA
"evm.TU.Ap9.1108_evm.TU.Ap9.1110","H/ACA ribonucleoprotein complex non-core subunit NAF1 OS=Rattus norvegicus GN=Naf1 PE=1 SV=1"
"evm.TU.Ap9.2497","Phenazine biosynthesis-like domain-containing protein OS=Bos taurus GN=PBLD PE=2 SV=1"
"evm.TU.Ap9.728","D-inositol 3-phosphate glycosyltransferase OS=Paenarthrobacter aurescens (strain TC1) GN=mshA PE=3 SV=1"
"evm.TU.Ap9.729","Ankyrin-3 OS=Homo sapiens GN=ANK3 PE=1 SV=3"
"evm.TU.Ap9.724",NA
"evm.TU.Ap9.725",NA
"evm.TU.Ap9.726",NA
"evm.TU.Ap9.727",NA
"evm.TU.Ap9.720","Cholesterol 24-hydroxylase OS=Mus musculus GN=Cyp46a1 PE=1 SV=1"
"evm.TU.Ap9.721","Folliculin-interacting protein 2 OS=Mus musculus GN=Fnip2 PE=1 SV=2"
"evm.TU.Ap9.722","Ankyrin-3 OS=Homo sapiens GN=ANK3 PE=1 SV=3"
"evm.TU.Ap9.723","Kinase D-interacting substrate of 220 kDa OS=Homo sapiens GN=KIDINS220 PE=1 SV=3"
"evm.TU.Ap9.2066",NA
"evm.TU.Ap9.2067",NA
"evm.TU.Ap9.2064",NA
"evm.TU.Ap9.2065","F-box/LRR-repeat protein 2 OS=Bos taurus GN=FBXL2 PE=2 SV=1"
"evm.TU.Ap9.2062","Cysteine dioxygenase OS=Arthroderma benhamiae GN=CDO1 PE=1 SV=1"
"evm.TU.Ap9.2063",NA
"evm.TU.Ap9.2060","Protocadherin Fat 3 OS=Mus musculus GN=Fat3 PE=1 SV=2"
"evm.TU.Ap9.2061","ATP-dependent DNA helicase PIF1 OS=Homo sapiens GN=PIF1 PE=1 SV=2"
"evm.TU.Ap9.2068","SET domain-containing protein 4 OS=Homo sapiens GN=SETD4 PE=2 SV=1"
"evm.TU.Ap9.2069","Exocyst complex component 3 OS=Homo sapiens GN=EXOC3 PE=1 SV=2"
"evm.TU.Ap9.897",NA
"evm.TU.Ap9.1746","Neuroligin-4, X-linked OS=Homo sapiens GN=NLGN4X PE=1 SV=1"
"evm.TU.Ap9.1744","Acetylcholinesterase OS=Bungarus fasciatus GN=ACHE PE=1 SV=2"
"evm.TU.Ap9.1744.1.5f15e7e5","Acetylcholinesterase OS=Bungarus fasciatus GN=ACHE PE=1 SV=2"
"evm.TU.Ap9.1745","Band 4.1-like protein 3 OS=Mus musculus GN=Epb41l3 PE=1 SV=1"
"evm.TU.Ap9.1742",NA
"evm.TU.Ap9.1743","Acetylcholinesterase OS=Bos taurus GN=ACHE PE=1 SV=2"
"evm.TU.Ap9.1740",NA
"evm.TU.Ap9.1748",NA
"evm.TU.Ap9.111","Flagellar attachment zone protein 1 OS=Trypanosoma brucei brucei (strain 927/4 GUTat10.1) GN=FAZ1 PE=4 SV=1"
"evm.TU.Ap9.1021","AP-5 complex subunit sigma-1 OS=Homo sapiens GN=AP5S1 PE=1 SV=1"
"evm.TU.Ap9.2716",NA
"evm.TU.Ap9.2717",NA
"evm.TU.Ap9.2718",NA
"evm.TU.Ap9.2719",NA
"evm.TU.Ap9.2637","ATPase inhibitor, mitochondrial OS=Sus scrofa GN=ATPIF1 PE=3 SV=2"
"evm.TU.Ap9.2636","Oxysterol-binding protein-related protein 1 OS=Rattus norvegicus GN=Osbpl1a PE=1 SV=1"
"evm.TU.Ap9.2635",NA
"evm.TU.Ap9.2633","28S ribosomal protein S28, mitochondrial OS=Mus musculus GN=Mrps28 PE=1 SV=1"
"evm.TU.Ap9.2632",NA
"evm.TU.Ap9.2631",NA
"evm.TU.Ap9.2630","Glutaminase kidney isoform, mitochondrial OS=Mus musculus GN=Gls PE=1 SV=1"
"evm.TU.Ap9.2639","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4 OS=Mus musculus GN=Gng4 PE=1 SV=1"
"evm.TU.Ap9.2638","Protein amnionless OS=Mus musculus GN=Amn PE=1 SV=1"
"evm.TU.Ap9.2638.1.5f15e8a6","Protein amnionless OS=Mus musculus GN=Amn PE=1 SV=1"
"evm.TU.Ap9.913","Acetylcholinesterase OS=Danio rerio GN=ache PE=3 SV=1"
"evm.TU.Ap9.912","Neuroligin-4, X-linked OS=Homo sapiens GN=NLGN4X PE=1 SV=1"
"evm.TU.Ap9.917",NA
"evm.TU.Ap9.916","DnaJ homolog subfamily C member 27 OS=Danio rerio GN=dnajc27 PE=2 SV=1"
"evm.TU.Ap9.915",NA
"evm.TU.Ap9.914","Peroxidasin homolog OS=Mus musculus GN=Pxdn PE=1 SV=2"
"evm.TU.Ap9.199",NA
"evm.TU.Ap9.193","cAMP-responsive element-binding protein-like 2 OS=Rattus norvegicus GN=Crebl2 PE=2 SV=1"
"evm.TU.Ap9.192","Calmodulin-regulated spectrin-associated protein 3 OS=Mus musculus GN=Camsap3 PE=1 SV=1"
"evm.TU.Ap9.1691","Chondroitin sulfate ABC exolyase OS=Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482) GN=chonabc PE=1 SV=1"
"evm.TU.Ap9.1644","Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1"
"evm.TU.Ap9.1970",NA
"evm.TU.Ap9.2418",NA
"evm.TU.Ap9.2412","Acyl-CoA desaturase OS=Cyprinus carpio PE=2 SV=2"
"evm.TU.Ap9.65","Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1"
"evm.TU.Ap9.986",NA
"evm.TU.Ap9.987",NA
"evm.TU.Ap9.1669","Melatonin receptor type 1A OS=Gallus gallus PE=2 SV=1"
"evm.TU.Ap9.1665","Melatonin receptor type 1B OS=Mus musculus GN=Mtnr1b PE=2 SV=1"
"evm.TU.Ap9.1664",NA
"evm.TU.Ap9.1667","N-acetylaspartate synthetase OS=Danio rerio GN=nat8l PE=2 SV=1"
"evm.TU.Ap9.1661","Probable N-acetyltransferase CML5 OS=Rattus norvegicus GN=Cml5 PE=2 SV=2"
"evm.TU.Ap9.1660",NA
"evm.TU.Ap9.1663",NA
"evm.TU.Ap9.1662","Uncharacterized protein F36G3.2 OS=Caenorhabditis elegans GN=F36G3.2 PE=4 SV=1"
"evm.TU.Ap9.2408","Beta-hexosaminidase OS=Vibrio vulnificus GN=hex PE=3 SV=1"
"evm.TU.Ap9.2400","Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4"
"evm.TU.Ap9.2401","Wings apart-like protein homolog OS=Homo sapiens GN=WAPL PE=1 SV=1"
"evm.TU.Ap9.2402","Zinc finger protein 503 OS=Danio rerio GN=znf503 PE=1 SV=1"
"evm.TU.Ap9.2403","Beta-hexosaminidase OS=Vibrio vulnificus GN=hex PE=3 SV=1"
"evm.TU.Ap9.2404","N,N'-diacetylchitobiase OS=Vibrio harveyi GN=chb PE=1 SV=1"
"evm.TU.Ap9.2405","Beta-hexosaminidase OS=Vibrio vulnificus GN=hex PE=3 SV=1"
"evm.TU.Ap9.93","Membrane-bound O-acyltransferase domain-containing protein 2 OS=Gallus gallus GN=mboat2 PE=2 SV=1"
"evm.TU.Ap9.92",NA
"evm.TU.Ap9.91","Membrane-bound O-acyltransferase domain-containing protein 2 OS=Rattus norvegicus GN=Mboat2 PE=2 SV=2"
"evm.TU.Ap9.90","Isoamyl acetate-hydrolyzing esterase 1 homolog OS=Bos taurus GN=IAH1 PE=2 SV=1"
"evm.TU.Ap9.97","Ras-related and estrogen-regulated growth inhibitor OS=Homo sapiens GN=RERG PE=1 SV=1"
"evm.TU.Ap9.96","Lysophospholipid acyltransferase 1 OS=Mus musculus GN=Mboat1 PE=1 SV=1"
"evm.TU.Ap9.95","Uncharacterized protein KIAA1958 OS=Homo sapiens GN=KIAA1958 PE=1 SV=1"
"evm.TU.Ap9.94","Membrane-bound O-acyltransferase domain-containing protein 2 OS=Rattus norvegicus GN=Mboat2 PE=2 SV=2"
"evm.TU.Ap9.99","DNA-directed RNA polymerase III subunit RPC10 OS=Mus musculus GN=Polr3k PE=3 SV=1"
"evm.TU.Ap9.98",NA
"evm.TU.Ap9.517",NA
"evm.TU.Ap9.516",NA
"evm.TU.Ap9.1977","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Homo sapiens GN=EDIL3 PE=1 SV=1"
"evm.TU.Ap9.528","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap9.529","Retrovirus-related Pol polyprotein from transposon 297 OS=Drosophila melanogaster GN=pol PE=3 SV=1"
"evm.TU.Ap9.527",NA
"evm.TU.Ap9.524",NA
"evm.TU.Ap9.525","Sperm acrosomal protein FSA-ACR.1 (Fragment) OS=Vulpes vulpes PE=2 SV=1"
"evm.TU.Ap9.521",NA
"evm.TU.Ap9.209","Vitamin K-dependent gamma-carboxylase OS=Mus musculus GN=Ggcx PE=1 SV=1"
"evm.TU.Ap9.208","Translation machinery-associated protein 16 OS=Xenopus laevis GN=tma16 PE=2 SV=1"
"evm.TU.Ap9.208.1.5f15e604","Translation machinery-associated protein 16 OS=Xenopus laevis GN=tma16 PE=2 SV=1"
"evm.TU.Ap9.203","Bone marrow stromal antigen 2 OS=Cricetulus griseus GN=Bst2 PE=1 SV=1"
"evm.TU.Ap9.202","Golgin subfamily A member 6-like protein 1 OS=Homo sapiens GN=GOLGA6L1 PE=2 SV=2"
"evm.TU.Ap9.201",NA
"evm.TU.Ap9.200",NA
"evm.TU.Ap9.207","Mitochondrial import inner membrane translocase subunit Tim29 OS=Homo sapiens GN=TIMM29 PE=1 SV=2"
"evm.TU.Ap9.206","Tctex1 domain-containing protein 1-B (Fragment) OS=Xenopus laevis GN=tctex1d1-b PE=2 SV=1"
"evm.TU.Ap9.205","Tctex1 domain-containing protein 1-B (Fragment) OS=Xenopus laevis GN=tctex1d1-b PE=2 SV=1"
"evm.TU.Ap9.204",NA
"evm.TU.Ap9.2307",NA
"evm.TU.Ap9.2306",NA
"evm.TU.Ap9.2305",NA
"evm.TU.Ap9.2304",NA
"evm.TU.Ap9.2303",NA
"evm.TU.Ap9.2302",NA
"evm.TU.Ap9.2301","BTB and MATH domain-containing protein 38 OS=Caenorhabditis elegans GN=bath-38 PE=4 SV=1"
"evm.TU.Ap9.2300","BTB and MATH domain-containing protein 38 OS=Caenorhabditis elegans GN=bath-38 PE=4 SV=1"
"evm.TU.Ap9.2309","Accumulation-associated protein OS=Staphylococcus epidermidis (strain ATCC 12228) GN=SE_0175 PE=3 SV=1"
"evm.TU.Ap9.2308","BTB and MATH domain-containing protein 36 OS=Caenorhabditis elegans GN=bath-36 PE=4 SV=1"
"evm.TU.Ap9.1148","Gem-associated protein 7 OS=Bos taurus GN=GEMIN7 PE=2 SV=1"
"evm.TU.Ap9.1149.1.5f15e73f",NA
"evm.TU.Ap9.1149",NA
"evm.TU.Ap9.1140","Glutamate receptor 2 OS=Rattus norvegicus GN=Gria2 PE=1 SV=2"
"evm.TU.Ap9.1141","Uncharacterized protein F58A4.6 OS=Caenorhabditis elegans GN=F58A4.6 PE=4 SV=3"
"evm.TU.Ap9.1142","SH3 domain-containing protein Dlish OS=Drosophila melanogaster GN=Dlish PE=1 SV=1"
"evm.TU.Ap9.1143",NA
"evm.TU.Ap9.1144","F-box only protein 16 OS=Homo sapiens GN=FBXO16 PE=2 SV=1"
"evm.TU.Ap9.1145",NA
"evm.TU.Ap9.1146",NA
"evm.TU.Ap9.1147","Chromatin accessibility complex protein 1 OS=Mus musculus GN=Chrac1 PE=1 SV=1"
"evm.TU.Ap9.1810","Adhesion G-protein coupled receptor D1 OS=Bos taurus GN=ADGRD1 PE=2 SV=1"
"evm.TU.Ap9.1817","Neuropeptide Y receptor type 1 OS=Bos taurus GN=NPY1R PE=2 SV=1"
"evm.TU.Ap9.1814","Melatonin receptor type 1A OS=Mus musculus GN=Mtnr1a PE=2 SV=1"
"evm.TU.Ap9.1815","Melatonin receptor type 1A OS=Homo sapiens GN=MTNR1A PE=1 SV=1"
"evm.TU.Ap9.1945","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap9.1947",NA
"evm.TU.Ap9.2000",NA
"evm.TU.Ap9.2001",NA
"evm.TU.Ap9.449",NA
"evm.TU.Ap9.448",NA
"evm.TU.Ap9.442",NA
"evm.TU.Ap9.2149","Zinc finger protein 706 OS=Gallus gallus GN=ZNF706 PE=3 SV=1"
"evm.TU.Ap9.2148","Deoxyhypusine hydroxylase OS=Danio rerio GN=dohh PE=2 SV=1"
"evm.TU.Ap9.2141",NA
"evm.TU.Ap9.2140",NA
"evm.TU.Ap9.2143",NA
"evm.TU.Ap9.2142",NA
"evm.TU.Ap9.2145",NA
"evm.TU.Ap9.2144",NA
"evm.TU.Ap9.2147",NA
"evm.TU.Ap9.2146",NA
"evm.TU.Ap9.1559",NA
"evm.TU.Ap9.1557",NA
"evm.TU.Ap9.1556","Zinc metalloproteinase nas-4 OS=Caenorhabditis elegans GN=nas-4 PE=2 SV=4"
"evm.TU.Ap9.1556.1.5f15e7b4","Zinc metalloproteinase nas-4 OS=Caenorhabditis elegans GN=nas-4 PE=2 SV=4"
"evm.TU.Ap9.1555","Zinc metalloproteinase nas-13 OS=Caenorhabditis elegans GN=nas-13 PE=2 SV=5"
"evm.TU.Ap9.1554",NA
"evm.TU.Ap9.1553","Collectin-43 OS=Bos taurus GN=CL43 PE=1 SV=2"
"evm.TU.Ap9.1551","Nephrocystin-3 OS=Xenopus laevis GN=nphp3 PE=2 SV=1"
"evm.TU.Ap9.1550",NA
"evm.TU.Ap9.9",NA
"evm.TU.Ap9.8","Tumor protein D54 OS=Homo sapiens GN=TPD52L2 PE=1 SV=2"
"evm.TU.Ap9.3","Sonic hedgehog protein OS=Xenopus laevis GN=shh PE=2 SV=1"
"evm.TU.Ap9.2","Probable serine incorporator OS=Nematostella vectensis GN=serinc PE=3 SV=1"
"evm.TU.Ap9.1","Kelch-like protein diablo OS=Culex quinquefasciatus GN=dbo PE=3 SV=2"
"evm.TU.Ap9.7","Splicing factor 3B subunit 6 OS=Mus musculus GN=Sf3b6 PE=1 SV=1"
"evm.TU.Ap9.5","Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Mus musculus GN=Smchd1 PE=1 SV=2"
"evm.TU.Ap9.4","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Bos taurus GN=STT3A PE=2 SV=1"
"evm.TU.Ap9.4.1.5f15e573","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Bos taurus GN=STT3A PE=2 SV=1"
"evm.TU.Ap9.2672",NA
"evm.TU.Ap9.2674","Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 6 OS=Arabidopsis thaliana GN=LSH6 PE=1 SV=1"
"evm.TU.Ap9.1527","D-inositol 3-phosphate glycosyltransferase OS=Corynebacterium urealyticum (strain ATCC 43042 / DSM 7109) GN=mshA PE=3 SV=1"
"evm.TU.Ap9.2083",NA
"evm.TU.Ap9.1523","D-inositol 3-phosphate glycosyltransferase OS=Stackebrandtia nassauensis (strain DSM 44728 / NRRL B-16338 / NBRC 102104 / LLR-40K-21) GN=mshA PE=3 SV=1"
"evm.TU.Ap9.1521",NA
"evm.TU.Ap9.1379",NA
"evm.TU.Ap9.1378",NA
"evm.TU.Ap9.1377",NA
"evm.TU.Ap9.1376",NA
"evm.TU.Ap9.1375","N-acetylaspartate synthetase OS=Xenopus tropicalis GN=nat8l PE=2 SV=1"
"evm.TU.Ap9.1374","Serine/threonine-protein kinase ULK1 OS=Mus musculus GN=Ulk1 PE=1 SV=1"
"evm.TU.Ap9.1373","Probable N-acetyltransferase CML5 OS=Rattus norvegicus GN=Cml5 PE=2 SV=2"
"evm.TU.Ap9.1372","Extracellular calcium-sensing receptor OS=Mus musculus GN=Casr PE=1 SV=2"
"evm.TU.Ap9.1371",NA
"evm.TU.Ap9.1370","Zinc finger MYM-type protein 1 OS=Homo sapiens GN=ZMYM1 PE=1 SV=1"
"evm.TU.Ap9.19","39S ribosomal protein L53, mitochondrial OS=Bos taurus GN=MRPL53 PE=1 SV=1"
"evm.TU.Ap9.18","EF-hand domain-containing protein 1 OS=Homo sapiens GN=EFHC1 PE=1 SV=1"
"evm.TU.Ap9.13","Retrovirus-related Pol polyprotein from transposon 412 OS=Drosophila melanogaster GN=POL PE=3 SV=1"
"evm.TU.Ap9.12",NA
"evm.TU.Ap9.11","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap9.958","Contactin-2 OS=Homo sapiens GN=CNTN2 PE=1 SV=1"
"evm.TU.Ap9.17",NA
"evm.TU.Ap9.16",NA
"evm.TU.Ap9.15",NA
"evm.TU.Ap9.14",NA
"evm.TU.Ap9.2480",NA
"evm.TU.Ap9.2482","Kinesin-like protein KIF13A OS=Mus musculus GN=Kif13a PE=1 SV=1"
"evm.TU.Ap9.2483","Sodium/calcium exchanger 1 OS=Mus musculus GN=Slc8a1 PE=1 SV=1"
"evm.TU.Ap9.2484","Sepiapterin reductase OS=Meriones unguiculatus GN=SPR PE=2 SV=1"
"evm.TU.Ap9.2485","Serine/threonine-protein kinase 3 OS=Danio rerio GN=stk3 PE=2 SV=1"
"evm.TU.Ap9.343",NA
"evm.TU.Ap9.1591","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap9.1034","Facilitated trehalose transporter Tret1 OS=Culex quinquefasciatus GN=Tret1 PE=3 SV=1"
"evm.TU.Ap9.1035","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap9.901",NA
"evm.TU.Ap9.902",NA
"evm.TU.Ap9.1922","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap9.1593",NA
"evm.TU.Ap9.1920",NA
"evm.TU.Ap9.1921","Prokineticin receptor 2 OS=Rattus norvegicus GN=Prokr2 PE=2 SV=2"
"evm.TU.Ap9.1926",NA
"evm.TU.Ap9.1927","MORN repeat-containing protein 2 OS=Bos taurus GN=MORN2 PE=4 SV=1"
"evm.TU.Ap9.1924","E3 ubiquitin-protein ligase UBR5 OS=Mus musculus GN=Ubr5 PE=1 SV=2"
"evm.TU.Ap9.1592",NA
"evm.TU.Ap9.1928","Mitochondrial adenine nucleotide transporter ADNT1 OS=Arabidopsis thaliana GN=ADNT1 PE=1 SV=1"
"evm.TU.Ap9.1929","Mitochondrial adenine nucleotide transporter ADNT1 OS=Arabidopsis thaliana GN=ADNT1 PE=1 SV=1"
"evm.TU.Ap9.1590",NA
"evm.TU.Ap9.1597",NA
"evm.TU.Ap9.1596",NA
"evm.TU.Ap9.907",NA
"evm.TU.Ap9.1595",NA
"evm.TU.Ap9.179",NA
"evm.TU.Ap9.178",NA
"evm.TU.Ap9.862",NA
"evm.TU.Ap9.171","Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14 PE=1 SV=3"
"evm.TU.Ap9.171.1.5f15e5e4",NA
"evm.TU.Ap9.170","Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14 PE=1 SV=3"
"evm.TU.Ap9.173",NA
"evm.TU.Ap9.172","Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14 PE=1 SV=3"
"evm.TU.Ap9.175","Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14 PE=1 SV=3"
"evm.TU.Ap9.174",NA
"evm.TU.Ap9.177","Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14 PE=1 SV=3"
"evm.TU.Ap9.176","Poly [ADP-ribose] polymerase 14 OS=Mus musculus GN=Parp14 PE=1 SV=3"
"evm.TU.Ap9.176.1.5f15e5ea","Poly [ADP-ribose] polymerase 14 OS=Mus musculus GN=Parp14 PE=1 SV=3"
"evm.TU.Ap9.861",NA
"evm.TU.Ap9.2389","Calcium-activated potassium channel subunit alpha-1 OS=Xenopus laevis GN=kcnma1 PE=2 SV=1"
"evm.TU.Ap9.2388","Calcium-activated potassium channel slowpoke OS=Drosophila melanogaster GN=slo PE=1 SV=3"
"evm.TU.Ap9.2387","Calcium-activated potassium channel subunit alpha-1 (Fragment) OS=Canis lupus familiaris GN=KCNMA1 PE=2 SV=2"
"evm.TU.Ap9.2386",NA
"evm.TU.Ap9.2385",NA
"evm.TU.Ap9.2384","Glutamate receptor ionotropic, NMDA 1 OS=Rattus norvegicus GN=Grin1 PE=1 SV=1"
"evm.TU.Ap9.2383",NA
"evm.TU.Ap9.2382",NA
"evm.TU.Ap9.2381",NA
"evm.TU.Ap9.2380",NA
"evm.TU.Ap9.287","Tribbles homolog 2 OS=Homo sapiens GN=TRIB2 PE=1 SV=1"
"evm.TU.Ap9.286","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Bos taurus GN=ASAP1 PE=1 SV=1"
"evm.TU.Ap9.285","Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2"
"evm.TU.Ap9.284",NA
"evm.TU.Ap9.2529","Myosin-IIIb OS=Homo sapiens GN=MYO3B PE=2 SV=4"
"evm.TU.Ap9.2528",NA
"evm.TU.Ap9.2523","DNA transposase THAP9 OS=Homo sapiens GN=THAP9 PE=1 SV=2"
"evm.TU.Ap9.2522","Zinc finger protein 700 OS=Homo sapiens GN=ZNF700 PE=2 SV=1"
"evm.TU.Ap9.2521","Zinc finger protein 347 OS=Homo sapiens GN=ZNF347 PE=1 SV=2"
"evm.TU.Ap9.2520","D-inositol 3-phosphate glycosyltransferase OS=Corynebacterium urealyticum (strain ATCC 43042 / DSM 7109) GN=mshA PE=3 SV=1"
"evm.TU.Ap9.2527","Transposon Tf2-3 polyprotein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=Tf2-3 PE=1 SV=1"
"evm.TU.Ap9.2526",NA
"evm.TU.Ap9.2525","Leucine-rich repeat-containing protein 7 OS=Homo sapiens GN=LRRC7 PE=1 SV=1"
"evm.TU.Ap9.2524",NA
"evm.TU.Ap9.2668",NA
"evm.TU.Ap9.829",NA
"evm.TU.Ap9.828","Cubilin OS=Mus musculus GN=Cubn PE=1 SV=3"
"evm.TU.Ap9.2663","Protein Wnt-8b OS=Danio rerio GN=wnt8b PE=2 SV=1"
"evm.TU.Ap9.2665","Dystonin OS=Homo sapiens GN=DST PE=1 SV=4"
"evm.TU.Ap9.563",NA
"evm.TU.Ap9.896",NA
"evm.TU.Ap9.892",NA
"evm.TU.Ap9.893","Uromodulin OS=Mus musculus GN=Umod PE=1 SV=1"
"evm.TU.Ap9.891","Uromodulin OS=Rattus norvegicus GN=Umod PE=2 SV=1"
"evm.TU.Ap9.899",NA
"evm.TU.Ap9.1705","Tetratricopeptide repeat protein 38 OS=Danio rerio GN=ttc38 PE=3 SV=1"
"evm.TU.Ap9.1708","Pancreatic secretory granule membrane major glycoprotein GP2 OS=Canis lupus familiaris GN=GP2 PE=1 SV=1"
"evm.TU.Ap9.1709","Pancreatic secretory granule membrane major glycoprotein GP2 OS=Canis lupus familiaris GN=GP2 PE=1 SV=1"
"evm.TU.Ap9.113",NA
"evm.TU.Ap9.112","Rho-related protein racA OS=Dictyostelium discoideum GN=racA PE=1 SV=2"
"evm.TU.Ap9.320","Rhodopsin, GQ-coupled OS=Mizuhopecten yessoensis GN=SCOP1 PE=1 SV=1"
"evm.TU.Ap9.321","Potassium channel subfamily K member 3 OS=Homo sapiens GN=KCNK3 PE=1 SV=1"
"evm.TU.Ap9.322",NA
"evm.TU.Ap9.323","Octopamine receptor beta-1R OS=Drosophila melanogaster GN=Octbeta1R PE=2 SV=1"
"evm.TU.Ap9.324","Skeletal aspartic acid-rich protein 2 (Fragment) OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap9.325","Skeletal aspartic acid-rich protein 1 OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap9.326","Skeletal aspartic acid-rich protein 2 (Fragment) OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap9.327","Adhesion G protein-coupled receptor L3 OS=Homo sapiens GN=ADGRL3 PE=1 SV=2"
"evm.TU.Ap9.110","Cofilin/actin-depolymerizing factor homolog OS=Drosophila melanogaster GN=tsr PE=1 SV=1"
"evm.TU.Ap9.117","Glucosidase 2 subunit beta OS=Ustilago maydis (strain 521 / FGSC 9021) GN=UMAG_12045 PE=3 SV=1"
"evm.TU.Ap9.116","E3 ubiquitin-protein ligase RNF19A OS=Sus scrofa GN=RNF19A PE=2 SV=1"
"evm.TU.Ap9.115","E3 ubiquitin-protein ligase SHPRH OS=Homo sapiens GN=SHPRH PE=1 SV=2"
"evm.TU.Ap9.114","Splicing factor 1 OS=Homo sapiens GN=SF1 PE=1 SV=4"
"evm.TU.Ap9.119.1.5f15e5b8","mRNA turnover protein 4 homolog OS=Bos taurus GN=MRTO4 PE=2 SV=1"
"evm.TU.Ap9.119","mRNA turnover protein 4 homolog OS=Bos taurus GN=MRTO4 PE=2 SV=1"
"evm.TU.Ap9.118","60S ribosomal protein L19 OS=Drosophila melanogaster GN=RpL19 PE=1 SV=2"
"evm.TU.Ap9.1069",NA
"evm.TU.Ap9.1068",NA
"evm.TU.Ap9.1063",NA
"evm.TU.Ap9.1062","Inorganic pyrophosphatase OS=Drosophila melanogaster GN=Nurf-38 PE=1 SV=3"
"evm.TU.Ap9.1061","BTB/POZ domain-containing protein KCTD6 OS=Danio rerio GN=kctd6 PE=2 SV=1"
"evm.TU.Ap9.1060","KICSTOR complex protein ITFG2 OS=Pongo abelii GN=ITFG2 PE=2 SV=1"
"evm.TU.Ap9.1067","Nucleolar transcription factor 1 OS=Rattus norvegicus GN=Ubtf PE=1 SV=1"
"evm.TU.Ap9.1066","Proteasomal ubiquitin receptor ADRM1 OS=Danio rerio GN=adrm1b PE=1 SV=1"
"evm.TU.Ap9.1065","Niemann-Pick C1 protein OS=Sus scrofa GN=NPC1 PE=2 SV=1"
"evm.TU.Ap9.1064","Glutamine-dependent NAD(+) synthetase OS=Gallus gallus GN=NADSYN1 PE=2 SV=1"
"evm.TU.Ap9.1460",NA
"evm.TU.Ap9.1741","LINE-1 retrotransposable element ORF1 protein OS=Homo sapiens GN=L1RE1 PE=1 SV=1"
"evm.TU.Ap9.1749","Zinc finger protein 253 OS=Homo sapiens GN=ZNF253 PE=2 SV=2"
"evm.TU.Ap9.650",NA
"evm.TU.Ap9.651","S-antigen protein OS=Plasmodium falciparum (isolate Wellcome) PE=4 SV=1"
"evm.TU.Ap9.652","Agrin OS=Homo sapiens GN=AGRN PE=1 SV=5"
"evm.TU.Ap9.653",NA
"evm.TU.Ap9.656",NA
"evm.TU.Ap9.657",NA
"evm.TU.Ap9.807","Galectin-3-binding protein A OS=Danio rerio GN=lgals3bpa PE=2 SV=1"
"evm.TU.Ap9.1452","Aldehyde dehydrogenase family 8 member A1 OS=Danio rerio GN=aldh8a1 PE=2 SV=1"
